"NG1.genes.results","NG2.genes.results","NG3.genes.results","RPM1.genes.results","RPM2.genes.results","RPM3.genes.results"
"ENSMUSG00000002059",2581,2700,3034,1384,1685,1385
"ENSMUSG00000002064",2665.92,3384.33,2886.24,3025.05,2782.88,2539.4
"ENSMUSG00000002068",65,117,90,150,174,175
"ENSMUSG00000002076",62,61,74,18,38,15
"ENSMUSG00000002083",1702,2393,2132,419,392,314
"ENSMUSG00000002100",1,1,1,6,4,5
"ENSMUSG00000002102",1608,2023,1642,1556,1377,1231
"ENSMUSG00000002103",193.44,128.73,141.5,644.82,592.16,616.52
"ENSMUSG00000002104",0,0,0,0,0,0
"ENSMUSG00000002105",865,732,849,518,634,490
"ENSMUSG00000002107",317,230,291,473,818,862
"ENSMUSG00000002108",45,53,56,66,71,54
"ENSMUSG00000002109",101.56,87.27,104.51,80.18,65.84,59.48
"ENSMUSG00000002111",5128,5021,5468,2709,3702,2749
"ENSMUSG00000002129",4161,4428,4401,2036,1941,1821
"ENSMUSG00000002147",4864,3984,3992,6192,7256,6378
"ENSMUSG00000002190",0,1,4,9,16,14
"ENSMUSG00000002204",3097,3843,3855,2955,2806,2592
"ENSMUSG00000002205",522.97,505,482.99,873,906.98,827
"ENSMUSG00000002210",1172,1410,1366,355,454,353
"ENSMUSG00000002221",182,158.03,182,494,483,481.01
"ENSMUSG00000002222",1675,1576,1402,2112,1772,2093
"ENSMUSG00000002227",386,252,361,323,448,308
"ENSMUSG00000002228",1730,1382,1986,694,1189,823
"ENSMUSG00000002233",19099,23823,22499,12977,11748,10464
"ENSMUSG00000002240",0,0,0,0,0,0
"ENSMUSG00000002249",0,0,0,0,0,2
"ENSMUSG00000002250",2449,2359,2202,1460,2315,1805
"ENSMUSG00000002257",1266,1511,1233,793,960,818
"ENSMUSG00000002265",0,0,0,0,0,0
"ENSMUSG00000002266",0,0,0,0,0.94,0
"ENSMUSG00000002274",104,88,144,94,111,82
"ENSMUSG00000002279",1809,2179,2076,2262,1962,1839
"ENSMUSG00000002280",651.05,446.72,725.06,396.12,529.65,442.98
"ENSMUSG00000002289",100,69,86,222,404,299
"ENSMUSG00000002297",224,160,218,246,256,249
"ENSMUSG00000002307",799,829,860,476,538,449
"ENSMUSG00000002308",313,292,440,229,288,215
"ENSMUSG00000002319",2171.5,2718.64,2443,1106,1254,1010.47
"ENSMUSG00000002320",865.89,1027.71,819,1775,1280,1350.16
"ENSMUSG00000002324",0,0,0,0,1,0
"ENSMUSG00000002325",608,421,589,282,500,425
"ENSMUSG00000002326",420.62,357.79,376.65,818.15,788.62,810.02
"ENSMUSG00000002329",1440,1352,1423,757,821,708
"ENSMUSG00000002332",1035,890,1009,705,1091,911
"ENSMUSG00000002341",2,2,0,3,3.98,3
"ENSMUSG00000002342",1013,969,1129,946,942,860
"ENSMUSG00000002343",130.35,120.63,131.35,148.74,137.6,123.79
"ENSMUSG00000002345",798,848,888,556,653,491
"ENSMUSG00000002346",31,31.96,26,48.01,58.87,50.93
"ENSMUSG00000002365",4275,3130,3116,7939,8176,7902
"ENSMUSG00000002372",1998,2183,2055,1649,1761,1478
"ENSMUSG00000002379",631,812,705,766,726,663
"ENSMUSG00000002384",0,0,0,0,0,3
"ENSMUSG00000002393",313.56,263.49,313.94,606.19,677.13,539.06
"ENSMUSG00000002395",3840,4164,4426,2253,2099,1737
"ENSMUSG00000002396",212.44,201.51,241.06,462.81,441.87,346.94
"ENSMUSG00000002409",7,5,6,7,10,7
"ENSMUSG00000002413",834,794,712.73,2043,1909.89,2337
"ENSMUSG00000002416",324.99,396,371.27,487,419.11,412
"ENSMUSG00000002428",285,379,277,1359,871,1179
"ENSMUSG00000002455",2338,2751,2076,1849,1711,1665
"ENSMUSG00000002458",741,708,716,1150,1176,1140
"ENSMUSG00000002459",8,3,5,34,32,24
"ENSMUSG00000002475",5,1,2,34,33,33
"ENSMUSG00000002477",927,820,916,885,820,803
"ENSMUSG00000002486",82,73,62,128,111,112
"ENSMUSG00000002489",2747,1870,2169,3020,4282,4133
"ENSMUSG00000002496",428.66,426.24,382.9,521.44,685.48,593.18
"ENSMUSG00000002500",7,8,4,2,6,6
"ENSMUSG00000002504",403,268,353,260,349,284
"ENSMUSG00000002524",2531,3028,2484,2192,2132,1790
"ENSMUSG00000002546",3798,4828,3261,2362,2341,2259
"ENSMUSG00000002550",1188.73,1438,1460.63,701.87,715.74,670.75
"ENSMUSG00000002565",39,8,23,49,82,72
